Period,Site,Vendor,Distro,Item,Item name,Item size,Category,,Sub category,Sold qty,Amount
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1002,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1005,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1006,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1007,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1011,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1013,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,0,0
Jun-22,AECS1013,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1019,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1019,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1019,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1019,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1020,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1021,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1021,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1021,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1025,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1025,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1025,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1029,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1033,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1034,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1034,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1034,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1035,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1035,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1035,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1036,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1036,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1039,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1039,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1039,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1039,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1041,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1041,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1052,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1052,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS1052,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1052,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1052,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1055,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1056,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1056,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1056,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1056,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1056,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1060,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1060,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,10,350
Jun-22,AECS1060,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,8,280
Jun-22,AECS1060,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1060,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS1061,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1066,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1066,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1067,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1067,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1072,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1072,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1073,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1074,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1074,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1075,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1075,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1076,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,10,350
Jun-22,AECS1076,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,7,245
Jun-22,AECS1076,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1076,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,8,280
Jun-22,AECS1079,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1079,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,4,140
Jun-22,AECS1079,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104690,Ripe Banana And Refreshing Icy Mint,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1079,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1079,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1080,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
Jun-22,AECS1080,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104691,Sweet Yet Rich Fiery Flavor,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1080,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104692,Fruity Irresistible Berry Blends,200G,211 - Cstore Tobacco,,21112 - Vapes,2,70
Jun-22,AECS1085,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104689,Sweet Strawberries and Spicy Lime,200G,211 - Cstore Tobacco,,21112 - Vapes,3,105
Jun-22,AECS1088,1095300 - VAPE DISTRIBUTION NETWORK FZ-LLC,,104688,Rich Tobacco With Vanilla Caramel Notes,200G,211 - Cstore Tobacco,,21112 - Vapes,1,35
