Product_name,Product_price,Product_website
"Two Brothers Organic Farms Amorearth Sugarcane Jaggery Powder, Crushed Granular 500 GMS ",239,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A0706295197660FSKD2LO&url=%2FBrothers-Organic-Sugarcane-Jaggery-Granular%2Fdp%2FB084G3T9KF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-1-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
Two Brothers Organic Farms Amorearth Sugarcane Jaggery Block 900 GMS ,299,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A07061393UOO63AV0K9MO&url=%2FAMOREARTH-2-Brothers-Organic-Farms-Jaggery%2Fdp%2FB07CK51LT9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-2-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
"Slurrp Farm Natural Jaggery Powder, 300 G ",203,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_grocery_sr_pg1_1?ie=UTF8&adId=A060778933OS0AYAOAUC6&url=%2FSlurrp-Farm-Organic-Jaggery-Powder%2Fdp%2FB081N7BTW7%2Fref%3Dsr_1_3_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-3-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_atf
"Organic Jaggery Cubes 900gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Desi Jaggery (Gur, Gud) ",319,https://www.amazon.in/Organic-Jaggery-900gms-Natural-Preservatives/dp/B09PV41NMZ/ref=sr_1_4?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-4
Nutrigain Organics Jaggery Cubes 500gm - Organic (Pack of 2) ,335,https://www.amazon.in/Nutrigain-Organics-Jaggery-Cubes-500gm/dp/B093SHZCZK/ref=sr_1_5?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-5
"Dry Fruit Hub Jaggery Cubes 400gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes ",229,https://www.amazon.in/Jaggery-400gms-Natural-Preservatives-Organic/dp/B07VBMG5DD/ref=sr_1_6?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-6
Maple Leaf Project Sweet Natural Healthy Gur Jaggery Cubes (400 Gm) || Gud || Natural Jaggery | Chemical Free Jaggery ,160,https://www.amazon.in/Maple-Leaf-Project-Natural-Healthy/dp/B085VV8R85/ref=sr_1_7?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-7
Ecofresh Organic Food Jaggery Cubes - 400 GMS ,120,https://www.amazon.in/Ecofresh-Organic-Food-Jaggery-Cubes/dp/B07V5JBQPM/ref=sr_1_8?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-8
"Dry Fruit Hub Jaggery Cubes 800gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes ",329,https://www.amazon.in/Jaggery-800gms-Natural-Preservatives-Organic/dp/B08CSRFVLJ/ref=sr_1_9?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-9
Dr. JPG Organic Jaggery Cube 1Kg | Gud | Gur | INDIA ORGANIC certified | 100% Organic. (1 Kg) ,169,https://www.amazon.in/Dr-JPG-Organic-certified-Organic/dp/B09SQ2J9DH/ref=sr_1_10?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-10
The Living Earth Organic Jaggery Cubes -500gms (Classic) ,200,https://www.amazon.in/Living-Organic-Jaggery-Classic-500gms/dp/B08TRKK2J5/ref=sr_1_11?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-11
"Mountveda Organic Jaggery, Gud, Pure, Natural, With No Added Preservatives, Comes From Finest Sugarcane, Iron & Protein Rich, Jaggery Cubes, 750Gms Jar ",178,https://www.amazon.in/Mountveda-Organic-Jaggery-Preservatives-Sugarcane/dp/B09ZQRSQPC/ref=sr_1_12?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-12
"Organic Jaggery Cubes 900gms [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Desi Jaggery (Gur, Gud) ",319,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_grocery_sr_pg1_1?ie=UTF8&adId=A1015467WOWSTJLEKG3V&url=%2FOrganic-Jaggery-900gms-Natural-Preservatives%2Fdp%2FB09PV41NMZ%2Fref%3Dsr_1_13_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-13-spons%26psc%3D1%26smid%3DAK7QOJEVWL7YY&qualifier=1656091503&id=4295613854533899&widgetName=sp_mtf
Conscious Food Palm Jaggery | Boosts Digestive System | Karupatti Mittai | 100% Natural - 500g ,168,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_grocery_sr_pg1_1?ie=UTF8&adId=A00807373FWM3NYFMQ1AU&url=%2FConscious-Food-Palm-Jaggery-500g%2Fdp%2FB009HWC02S%2Fref%3Dsr_1_14_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-14-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_mtf
"Dhampure Speciality Vacuum Packed Jaggery, 2kg (2x1Kg) | No Colour, No Preservatives, Chemical Free No Sulphur, No Fertilizers, GMO Fat Free ",196,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_grocery_sr_pg1_1?ie=UTF8&adId=A03703941JGO5N5THBX1G&url=%2FDhampure-Speciality-Preservatives-Chemical-Fertilizers%2Fdp%2FB09B4JW1GD%2Fref%3Dsr_1_15_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-15-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_mtf
Two Brothers Organic Farms Amorearth Sugarcane Jaggery Block 900 GMS ,299,https://www.amazon.in/AMOREARTH-2-Brothers-Organic-Farms-Jaggery/dp/B07CK51LT9/ref=sr_1_16?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-16
Maple Leaf Project Natural Healthy Jaggery Cubes (400 Gram) -Pack of 2 ,310,https://www.amazon.in/Maple-Leaf-Project-Natural-Healthy/dp/B0863ZD9CR/ref=sr_1_17?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-17
My Village Sugarcane Jaggery | Organic Jaggery Cubes | Sharkkara | Gur | Gudh | Natural Sweetener | 750 gm ,219,https://www.amazon.in/My-Village-Sugarcane-Sharkkara-Sweetener/dp/B08THXPHLX/ref=sr_1_18?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-18
Deccan Organic Jaggery Cube 900 g (Pack of 2) ,270,https://www.amazon.in/Deccan-Organic-Jaggery-Cube-Pack/dp/B0761V6N35/ref=sr_1_19?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-19
Nature's Bridge Jaggery | Organic Jaggery | Pure Natural Jaggery | Gud Cubes | Chemical Free Gur - Jar Pack of 800 Gm ,239,https://www.amazon.in/Natures-Bridge-Natural-Jaggery-Chemicalfree/dp/B08MBDD6XN/ref=sr_1_20?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-20
"Prizex Organic Jaggery Cubes 900gm [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes ",259,https://www.amazon.in/Prizex-Organic-Jaggery-Natural-Preservatives/dp/B09VDQPKV3/ref=sr_1_21?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-21
Jaggery Cubes (Gud or Gur) || 100% Organic & Chemical Free || No Preservative (New Pack) ,155,https://www.amazon.in/Jaggery-Cubes-Organic-Chemical-Preservative/dp/B09W9GXLXL/ref=sr_1_22?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-22
Nature Prime organic jaggery | jaggery cubes | jaggery organic (250G) ,199,https://www.amazon.in/Nature-Prime-organic-jaggery-cubes/dp/B09LHYQPBS/ref=sr_1_23?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-23
"Miltop Natural Jaggery, 875g*2 ",205,https://www.amazon.in/Miltop-Natural-Jaggery-875g-Pack/dp/B0788NZT2Q/ref=sr_1_24?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-24
"Mountveda Organic Jaggery Cubes, 450Gms, Comes From Finest Sugarcane, 100% Pure, Protein & Iron Rich ",125,https://www.amazon.in/Mountveda-Organic-Jaggery-Sugarcane-Protein/dp/B0B499CD77/ref=sr_1_25?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-25
"24 Mantra Organic Jaggery Block/Gur/Shakkar - 450gms, Pack of 1 ,100% Organic, Substitute for Sugar ",80,https://www.amazon.in/24-Organic-Mantra-Products-Jaggery/dp/B018VWQ6J2/ref=sr_1_26?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-26
"Prizex Jaggery Cubes [Pure, Natural, No Preservatives Added], Jaggery Cube, Gud Jaggery, Jaggery Organic Cubes 400 GM ",199,https://www.amazon.in/Prizex-Jaggery-Natural-Preservatives-Organic/dp/B09VDN9P8M/ref=sr_1_27?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-27
Achu Vellam / Jaggery Cubes 1kg by Amirtham Organic Foods ,189,https://www.amazon.in/Vellam-Jaggery-Amirtham-Organic-Foods/dp/B0917Q6ZMK/ref=sr_1_28?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-28
Carpe victus - Natural Jaggery Cube - Bottle 500g - Gur ,150,https://www.amazon.in/Carpe-victus-Natural-Jaggery-Bottle/dp/B09SHF61GY/ref=sr_1_29?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-29
"Conscious Food Jaggery Cubes 500g - 100% Natural , Pure , Zero Pesticides, Zero Added Colour 500g ",145,https://www.amazon.in/Conscious-Food-Jaggery-Cubes-500g/dp/B0B1J256WC/ref=sr_1_30?crid=68KU0Y0A9N56&keywords=organic+jaggery+cubes&qid=1656091503&s=grocery&sprefix=organic+jaggery+cubes%2Cgrocery%2C379&sr=1-30
"DHAMPURGREEN Natural Pure Jaggery Gur, 880g (4 x-220g) | Gud from Sugarcane - Chemical Free ",119,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_grocery_sr_pg1_1?ie=UTF8&adId=A022177228DKQSDWM09CA&url=%2FDhampure-Speciality-Natural-Jaggery-Sugarcane%2Fdp%2FB09L49NL4G%2Fref%3Dsr_1_31_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-31-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_btf
Truefarm - Organic Jaggery Powder (2 X 500g) | Rich in Nutrition and Taste | Higher Antioxidant Content | Gur Powder Organic | Jaggery Powder for Tea ,199,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_grocery_sr_pg1_1?ie=UTF8&adId=A0126136NBRVT2474RZG&url=%2FTruefarm-Foods-Organic-Jaggery-Powder%2Fdp%2FB07MBJHZPQ%2Fref%3Dsr_1_32_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-32-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_btf
"Dhampure Speciality Organic Jaggery Powder, 800g | Pure Natural Jaggery Powder Desi Gur Gud Shakkar for Tea Coffee Milk, No Added Sulphur Color Pesticides Preservatives, Chemical Free Jaggery ",99,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_grocery_sr_pg1_1?ie=UTF8&adId=A08569212WV4WZ48EJ21U&url=%2FDhampure-Speciality-Pesticides-Preservatives-Chemical%2Fdp%2FB08TKVHXRJ%2Fref%3Dsr_1_33_sspa%3Fcrid%3D68KU0Y0A9N56%26keywords%3Dorganic%2Bjaggery%2Bcubes%26qid%3D1656091503%26s%3Dgrocery%26sprefix%3Dorganic%2Bjaggery%2Bcubes%252Cgrocery%252C379%26sr%3D1-33-spons%26psc%3D1&qualifier=1656091503&id=4295613854533899&widgetName=sp_btf
